45	Dov'è la cassa?	收银台在哪里？
67	C'è un ragno sul muro.	墙上有一只蜘蛛。
102	Quell'edificio è molto alto.	那栋楼很高。
124	Sento un suono strano.	我听到一个奇怪的声音。
126	L'amico di Luca vive qui.	卢卡的朋友住在这里。
131	Il pane è troppo secco.	面包太干了。
143	Il gatto nero dorme sul divano.	那只黑猫睡在沙发上。
146	Abito in un piccolo appartamento.	我住在一套小公寓里。
147	Mi guardo allo specchio.	我照镜子。
153	I libri sono messi in ordine.	书都摆放整齐了。
154	Aggiungo un po' d'aglio alla salsa.	我往酱汁里加一点大蒜。
159	Ho comprato un cappotto rosso.	我买了一件红色外套。
160	Questa è la tua borsa.	这是你的包。
164	Ascolto la radio ogni mattina.	我每天早上听广播。
166	Questo è il tuo posto.	这是你的位置。
173	Mia sorella studia medicina.	我姐姐学习医学。
175	Mio fratello lavora a Milano.	我哥哥在米兰工作。
187	Mi piace il tuo nuovo taglio di capelli.	我喜欢你的新发型。
191	Lisa arriva alle otto.	莉萨八点到。
192	Vorrei visitare Roma quest'estate.	我想今年夏天去罗马游览。
197	Perché lasci la porta aperta?	你为什么把门开着？
198	Devo uscire tra dieci minuti.	我十分钟后得出去。
199	È importante bere abbastanza acqua.	喝足够的水很重要。
203	Vorrei mangiare qualcosa.	我想吃点东西。
209	Mi piace questo ristorante.	我喜欢这家餐厅。
212	Mi piace nuotare al mare.	我喜欢在海里游泳。
214	I raggi del sole entrano dalla finestra.	阳光从窗户照进来。
216	Ti piace la musica italiana?	你喜欢意大利音乐吗？
220	Questa cura dura due settimane.	这种治疗持续两周。
223	L'aeroporto è lontano dal centro.	机场离市中心很远。
224	Ho ricevuto un pacco stamattina.	我今天早上收到了一个包裹。
227	C'è un buco nella calza.	袜子上有一个洞。
229	L'hotel è vicino alla stazione.	酒店在火车站附近。
231	Al prossimo incrocio viro a destra.	到下一个路口我右转。
235	La capa vuole parlare con noi.	女负责人想和我们谈谈。
246	Oggi mi sento triste.	今天我感到难过。
248	Cerco un ristorante economico.	我在找一家价格实惠的餐厅。
250	Questa specie vive in montagna.	这个物种生活在山区。
264	Il negozio è aperto fino alle otto.	商店营业到八点。
266	Queste scarpe sono troppo care.	这些鞋太贵了。
268	Vado al mercato il sabato.	我星期六去市场。
271	La cena è già fatta.	晚饭已经做好了。
